"","Province","Country","Confirmed","Deaths","Recovered","DateRep","countries","dia","ln","population","yearChange","netChange","density","landArea","migrants","fertRate","medAge","urbanPop","worldShare","GeoId","pop1m","S","I","R"
"119",NA,"Estonia",10,0,0,2020-03-06,"Estonia",5,8,1326535,"0,07%",887,31,42390,3911,1.6,42,"68%","0,02%","EE",1.3,1326525,10,0
"120",NA,"Romania",9,0,1,2020-03-06,"Romania",5,23,19237691,"-0,66%",-126866,84,230170,-73999,1.6,43,"55%","0,25%","RO",19.2,19237681,9,1
"121",NA,"Slovenia",7,0,0,2020-03-06,"Slovenia",1,25,2078938,"0,01%",284,103,20140,2000,1.6,45,"55%","0,03%","SI",2.1,2078931,7,0
"122",NA,"Poland",5,0,0,2020-03-06,"Poland",2,21,37846611,"-0,11%",-41157,124,306230,-29395,1.4,42,"60%","0,49%","PL",37.8,37846606,5,0
"123",NA,"Hungary",2,0,0,2020-03-06,"Hungary",2,13,9660351,"-0,25%",-24328,107,90530,6000,1.5,43,"72%","0,12%","HU",9.7,9660349,2,0
"124",NA,"Luxembourg",2,0,0,2020-03-06,"Luxembourg",5,18,625978,"1,66%",10249,242,2590,9741,1.5,40,"88%","0,01%","LU",0.6,625976,2,0
"125",NA,"Latvia",1,0,0,2020-03-06,"Latvia",4,16,1886198,"-1,08%",-20545,30,62200,-14837,1.7,44,"69%","0,02%","LV",1.9,1886197,1,0
"126",NA,"Lithuania",1,0,0,2020-03-06,"Lithuania",5,17,2722289,"-1,35%",-37338,43,62674,-32780,1.7,45,"71%","0,03%","LT",2.7,2722288,1,0
"127",NA,"Slovakia",1,0,0,2020-03-06,"Slovakia",0,24,5459642,"0,05%",2629,114,48088,1485,1.5,41,"54%","0,07%","SK",5.5,5459641,1,0
"128",NA,"Italy",5883,233,589,2020-03-07,"Italy",6,15,60461826,"-0,15%",-88249,206,294140,148943,1.3,47,"69%","0,78%","IT",60.5,60455121,5883,822
"129",NA,"France",949,11,12,2020-03-07,"France",6,10,65273511,"0,22%",143783,119,547557,36527,1.9,42,"82%","0,84%","FR",65.3,65272539,949,23
"130",NA,"Germany",799,0,18,2020-03-07,"Germany",6,11,83783942,"0,32%",266897,240,348560,543822,1.6,46,"76%","1,07%","DE",83.8,83783125,799,18
"131",NA,"Spain",500,10,30,2020-03-07,"Spain",6,26,46754778,"0,04%",18002,94,498800,40000,1.3,45,"80%","0,60%","ES",46.8,46754238,500,40
"132",NA,"Netherlands",188,1,0,2020-03-07,"Netherlands",6,20,17134872,"0,22%",37742,508,33720,16000,1.7,43,"92%","0,22%","NL",17.1,17134683,188,1
"133",NA,"Belgium",169,0,1,2020-03-07,"Belgium",6,2,11589623,"0,44%",50295,383,30280,48000,1.7,42,"98%","0,15%","BE",11.6,11589453,169,1
"134",NA,"Sweden",161,0,0,2020-03-07,"Sweden",6,27,10099265,"0,63%",62886,25,410340,40000,1.9,41,"88%","0,13%","SE",10.1,10099104,161,0
"135",NA,"Austria",79,0,0,2020-03-07,"Austria",6,1,9006398,"0,57%",51296,109,82409,65000,1.5,43,"57%","0,12%","AT",9,9006319,79,0
"136",NA,"Greece",46,0,0,2020-03-07,"Greece",6,12,10423054,"-0,48%",-50401,81,128900,-16000,1.3,46,"85%","0,13%","EL",10.4,10423008,46,0
"137",NA,"Denmark",23,0,1,2020-03-07,"Denmark",6,7,5792202,"0,35%",20326,137,42430,15200,1.8,42,"88%","0,07%","DK",5.8,5792178,23,1
"138",NA,"Portugal",20,0,0,2020-03-07,"Portugal",5,22,10196709,"-0,29%",-29478,111,91590,-6000,1.3,46,"66%","0,13%","PT",10.2,10196689,20,0
"139",NA,"Czechia",19,0,0,2020-03-07,"Czechia",6,6,10708981,"0,18%",19772,139,77240,22011,1.6,43,"74%","0,14%","CZ",10.7,10708962,19,0
"140",NA,"Ireland",18,0,0,2020-03-07,"Ireland",6,14,4937786,"1,13%",55291,72,68890,23604,1.8,38,"63%","0,06%","IE",4.9,4937768,18,0
"141",NA,"Finland",15,0,1,2020-03-07,"Finland",6,9,5540720,"0,15%",8564,18,303890,14000,1.5,43,"86%","0,07%","FI",5.5,5540704,15,1
"142",NA,"Croatia",12,0,0,2020-03-07,"Croatia",6,4,4105267,"-0,61%",-25037,73,55960,-8001,1.4,44,"58%","0,05%","HR",4.1,4105255,12,0
"143",NA,"Estonia",10,0,0,2020-03-07,"Estonia",6,8,1326535,"0,07%",887,31,42390,3911,1.6,42,"68%","0,02%","EE",1.3,1326525,10,0
"144",NA,"Romania",9,0,3,2020-03-07,"Romania",6,23,19237691,"-0,66%",-126866,84,230170,-73999,1.6,43,"55%","0,25%","RO",19.2,19237679,9,3
"145",NA,"Slovenia",7,0,0,2020-03-07,"Slovenia",2,25,2078938,"0,01%",284,103,20140,2000,1.6,45,"55%","0,03%","SI",2.1,2078931,7,0
"146",NA,"Poland",5,0,0,2020-03-07,"Poland",3,21,37846611,"-0,11%",-41157,124,306230,-29395,1.4,42,"60%","0,49%","PL",37.8,37846606,5,0
"147",NA,"Hungary",4,0,0,2020-03-07,"Hungary",3,13,9660351,"-0,25%",-24328,107,90530,6000,1.5,43,"72%","0,12%","HU",9.7,9660347,4,0
"148",NA,"Malta",3,0,0,2020-03-07,"Malta",0,19,441543,"0,27%",1171,1380,320,900,1.5,43,"93%","0,01%","MT",0.4,441540,3,0
"149",NA,"Luxembourg",2,0,0,2020-03-07,"Luxembourg",6,18,625978,"1,66%",10249,242,2590,9741,1.5,40,"88%","0,01%","LU",0.6,625976,2,0
"150",NA,"Latvia",1,0,0,2020-03-07,"Latvia",5,16,1886198,"-1,08%",-20545,30,62200,-14837,1.7,44,"69%","0,02%","LV",1.9,1886197,1,0
"151",NA,"Lithuania",1,0,0,2020-03-07,"Lithuania",6,17,2722289,"-1,35%",-37338,43,62674,-32780,1.7,45,"71%","0,03%","LT",2.7,2722288,1,0
"152",NA,"Slovakia",1,0,0,2020-03-07,"Slovakia",1,24,5459642,"0,05%",2629,114,48088,1485,1.5,41,"54%","0,07%","SK",5.5,5459641,1,0
"153",NA,"Italy",7375,366,622,2020-03-08,"Italy",7,15,60461826,"-0,15%",-88249,206,294140,148943,1.3,47,"69%","0,78%","IT",60.5,60453463,7375,988
"154",NA,"France",1126,19,12,2020-03-08,"France",7,10,65273511,"0,22%",143783,119,547557,36527,1.9,42,"82%","0,84%","FR",65.3,65272354,1126,31
"155",NA,"Germany",1040,0,18,2020-03-08,"Germany",7,11,83783942,"0,32%",266897,240,348560,543822,1.6,46,"76%","1,07%","DE",83.8,83782884,1040,18
"156",NA,"Spain",673,17,30,2020-03-08,"Spain",7,26,46754778,"0,04%",18002,94,498800,40000,1.3,45,"80%","0,60%","ES",46.8,46754058,673,47
